Username,Text,language,retweet_count,Time,location
erf20201,"There was a huge campaign a few wks ago in #Iran to have Raisi’s @instagram banned, but he’s since been verified. President of one of the most anti-internet countries in the 🌍 who deprives #Iranians of net access/social networks now has a blue check mark?  @Meta? #IranRevolution https://t.co/JlwaXkW7ZC",en,618,2022-12-31 17:17:28+00:00,Braavos
kaftarcacoli,"While the world is getting ready to celebrate the New Year, innocent Iranian youths are being killed by the mullahs' regime in the streets. #BurhanEliasi was killed today in #Javanrud    #iran   @UN_HRC   @EUCouncil   @dwnews   @GermanyDiplo   @VP https://t.co/fHUnttvDRF",en,2887,2022-12-31 17:17:27+00:00,
Darklinson,"While the world is getting ready to celebrate the New Year, innocent Iranian youths are being killed by the mullahs' regime in the streets. #BurhanEliasi was killed today in #Javanrud    #iran   @UN_HRC   @EUCouncil   @dwnews   @GermanyDiplo   @VP https://t.co/fHUnttvDRF",en,2887,2022-12-31 17:17:22+00:00,تیمارستانِ متروکه
johnsnow_first_,Anyone wondering why we are STILL tweeting about #Iran is because the death of #MahsaAmini has changed ABSOLUTELY NOTHING with this regime. All they have left is brutal crackdowns.  #MahsaPeyravi gets 10 years jail for taking off her headscarf. Excuse our dogged persistence ⬇️ https://t.co/JXLDU6ripk,en,404,2022-12-31 17:17:13+00:00,
radkhoni,"If you know, you know. 🔥😂     #Iran #IranRevolution #shervinhajipour https://t.co/FLCKbzbvZ0",en,1214,2022-12-31 17:17:11+00:00,کص ننه آخوند 
SteveWorks4You,"Dec 31—Sanandaj, W #Iran  Locals are setting up roadblocks with fires and taking control of their streets in solidarity with the city of Javanrud.  #IranRevolution   #جوانرود   https://t.co/D5dz1Zd264",en,2,2022-12-31 17:17:09+00:00,"MI, DC, TX"
Mr_Amir_30,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:17:07+00:00,Somewhere 
BinamBinam2019,"Well said. The Iranian diaspora has demonstrated unprecedented unity in amplifying the voices of #Iran's people. It has moved Western capitals. Iranian Americans have every right to demand action, correct misperceptions, &amp; challenge &amp; change the narrative. Keep speaking out. https://t.co/SBCDW7YfW8",en,115,2022-12-31 17:17:05+00:00,In the middle of No where
ghanoun11,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:17:04+00:00,
Zara_Belov,"@JasonMBrodsky Dec. 31, during the mourning ceremony for seven previously killed protestors in Javanrood, #Iran, yet another protestor, #BorhanEliasi, 22, was shot and killed.   The world must react to this atrocity and not let this murderous #IR slaughter people easily and make a habit of it!",en,0,2022-12-31 17:17:03+00:00,
